,faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_4,xmeas_6,xmeas_8,xmeas_9,xmeas_10,xmeas_18,xmeas_19,xmeas_21,xmeas_22,xmeas_24,xmeas_25,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_38,xmeas_39,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_9,xmv_10,xmv_11
125250,0,251,251,0.24283,3700.5,9.3618,42.703,74.941,120.41,0.33648,66.184,240.23,94.635,77.212,8.9175,25.883,18.836,1.6802,32.917,13.946,23.148,18.711,2.2964,4.8558,2.3161,0.8503,0.10943,43.831,63.35,53.978,23.765,60.421,21.116,39.407,49.513,41.136,18.346
125261,0,251,262,0.27789,3681.1,9.3748,42.494,75.318,120.43,0.34826,66.211,244.54,94.353,77.574,8.9635,25.893,18.943,1.6389,33.419,13.844,23.57,18.987,2.3106,4.7956,2.2368,0.86802,0.10694,43.922,64.245,53.199,27.712,61.147,21.932,41.083,50.987,41.343,18.693
125263,0,251,264,0.22308,3640.6,9.4166,42.694,74.521,120.38,0.33952,66.282,243.62,94.596,77.359,8.9326,26.398,19.135,1.675,33.219,13.736,23.635,18.862,2.2848,4.7374,2.2515,0.86802,0.10694,43.922,63.605,53.29,22.673,60.85,22.15,40.101,51.66,40.35,16.986
125289,0,251,290,0.20234,3702.2,9.4565,42.574,75.64,120.39,0.35874,66.558,245.9,94.323,77.086,8.9431,26.452,18.858,1.6959,33.204,13.842,23.975,18.887,2.3169,4.8721,2.3054,0.80305,0.095974,44.308,63.772,53.712,19.643,62.03,22.256,43.397,51.771,40.313,19.583
125314,0,251,315,0.27208,3678.3,9.3449,42.055,74.966,120.42,0.32836,65.598,222.05,94.668,76.914,8.9439,26.339,18.495,1.6649,32.523,13.964,24.446,18.852,2.2223,4.8297,2.3252,0.8284,0.091577,43.454,63.3,53.781,26.484,61.689,21.965,39.925,45.427,40.312,19.333
125317,0,251,318,0.25306,3692.7,9.347,42.267,74.568,120.44,0.35166,65.447,220.77,94.562,77.498,8.8628,26.617,18.537,1.6874,33.193,13.676,24.645,19.216,2.2795,4.8906,2.244,0.82609,0.093092,43.596,63.671,54.306,24.42,62.612,21.662,42.302,45.451,41.656,19.586
125331,0,251,332,0.32573,3617.6,9.4223,42.317,74.385,120.43,0.33936,65.307,218.43,94.712,77.421,9.0998,26.62,18.796,1.6542,32.725,13.846,24.263,18.008,2.3008,4.9,2.3054,0.85304,0.097769,43.801,62.331,53.382,32.163,63.114,22.098,40.355,43.798,41.283,18.233
125332,0,251,333,0.26336,3683.1,9.3889,42.381,75.133,120.4,0.3399,65.272,215.54,94.535,77.224,9.0943,26.317,19.11,1.645,33.257,13.788,24.4,19.266,2.2404,4.8726,2.2778,0.85304,0.097769,43.801,63.202,53.679,25.687,60.185,21.869,40.579,43.968,40.964,17.148
125358,0,251,359,0.19317,3709.7,9.2777,42.231,74.389,120.39,0.33115,65.43,223.61,94.546,77.443,8.8456,26.34,18.993,1.663,33.192,13.695,24.432,18.037,2.2634,4.8611,2.2984,0.85519,0.08185,43.638,63.884,54.959,18.973,61.711,22.437,39.317,46.192,40.704,17.345
125378,0,251,379,0.19263,3603.7,9.3461,42.128,74.493,120.39,0.34062,65.741,229.94,94.745,77.046,8.7644,26.401,18.916,1.663,32.735,13.845,23.713,18.975,2.227,4.8921,2.2597,0.84688,0.10407,43.922,62.06,53.989,18.652,60.756,22.333,41.015,46.866,41.028,19.474
125399,0,251,400,0.23132,3654.4,9.3254,42.376,74.754,120.38,0.33273,65.734,232.73,94.738,77.275,8.9402,26.704,18.543,1.7013,33.185,13.779,24.528,18.439,2.2661,4.7519,2.3806,0.84079,0.10306,43.707,62.406,54.074,23.323,59.728,22.533,39.447,47.3,41.139,17.261
125414,0,251,415,0.20396,3671.6,9.4562,42.311,75.44,120.41,0.32004,65.624,233.4,94.387,77.446,8.8336,26.64,18.028,1.6694,33.09,13.705,23.804,18.153,2.229,4.794,2.3928,0.82983,0.10936,44.227,63.754,53.376,19.801,58.794,23.377,37.731,48.624,41.946,18.682
125432,0,251,433,0.26428,3644.4,9.3651,41.956,74.866,120.45,0.34456,65.697,231.78,94.588,77.797,8.855,26.502,18.763,1.6676,32.562,13.788,23.993,18.675,2.236,4.7365,2.3258,0.82688,0.093042,44.174,63.888,54.788,26.244,59.808,22.06,40.713,47.402,41.883,17.402
125445,0,251,446,0.30512,3663.0,9.2989,42.413,75.548,120.4,0.34277,65.877,230.46,94.585,77.522,8.9086,25.585,18.877,1.6437,32.228,13.951,24.205,18.611,2.2498,4.8748,2.3246,0.84073,0.096975,43.49,63.479,54.276,30.149,60.349,21.599,41.021,47.787,40.632,17.72
125455,0,251,456,0.30087,3670.9,9.234,42.264,74.798,120.42,0.33681,65.82,234.87,94.663,77.217,9.0028,26.208,19.591,1.6551,32.249,14.048,23.8,18.926,2.2729,4.857,2.3473,0.85823,0.09859,43.862,63.693,53.236,29.487,63.423,21.828,40.333,47.938,41.778,18.204
125460,0,251,461,0.29793,3637.0,9.3531,42.351,75.192,120.41,0.34364,65.97,233.44,94.477,77.603,8.8841,25.854,19.036,1.6316,32.7,13.996,23.959,19.028,2.2576,4.8536,2.2942,0.84389,0.11157,43.19,62.996,53.877,29.24,62.473,22.211,40.728,48.912,41.128,14.83
125482,0,251,483,0.18289,3614.5,9.4532,42.098,75.196,120.38,0.34319,66.046,244.27,94.662,77.386,9.0181,26.31,18.796,1.6266,33.739,13.658,23.504,18.173,2.2613,4.8733,2.3264,0.8175,0.098418,43.34,62.929,54.294,18.032,61.405,23.497,40.646,50.274,40.949,15.62
125489,0,251,490,0.19673,3665.7,9.3277,42.515,73.973,120.39,0.31131,66.007,238.09,94.38,77.329,8.9125,26.745,18.584,1.622,33.297,13.646,23.396,18.231,2.2438,4.8566,2.2931,0.79744,0.097623,43.83,63.304,54.669,19.357,61.035,23.169,36.341,49.705,41.559,17.064
125498,0,251,499,0.20035,3678.6,9.3868,42.099,75.103,120.41,0.32685,65.665,227.93,94.483,77.339,8.7779,26.218,18.51,1.6754,33.256,13.912,24.279,18.326,2.2911,4.8171,2.2987,0.811,0.11171,44.285,64.388,54.51,19.431,60.12,22.896,38.564,46.951,41.396,16.319
125499,0,251,500,0.19931,3705.5,9.414,42.31,75.15,120.4,0.32607,65.618,229.28,94.421,77.138,8.7779,26.218,18.51,1.6754,33.256,13.912,24.279,18.326,2.2911,4.8171,2.2987,0.811,0.11171,44.285,63.926,54.942,19.533,61.677,23.27,38.659,46.496,42.083,21.34
130750,0,262,251,0.24961,3666.9,9.4033,42.664,74.46,120.43,0.33829,66.002,234.02,94.744,77.232,9.1467,26.17,18.894,1.6362,32.986,13.763,23.162,18.375,2.2453,4.8731,2.3424,0.84577,0.088806,44.356,63.108,53.698,24.611,61.659,21.875,39.932,48.783,40.827,19.616
130761,0,262,262,0.21906,3644.9,9.4741,41.925,74.876,120.39,0.36176,65.905,236.62,94.47,77.572,8.7422,26.267,18.483,1.6789,33.068,13.684,23.954,18.289,2.2728,4.8408,2.3561,0.80694,0.10373,44.029,63.307,53.692,21.26,61.646,22.85,43.093,48.886,40.885,18.519
130763,0,262,264,0.27195,3703.1,9.5148,42.198,74.412,120.43,0.32355,65.922,236.28,94.453,77.457,8.8341,26.231,18.67,1.6772,33.172,13.568,24.117,18.516,2.2579,4.794,2.1898,0.80694,0.10373,44.029,62.854,54.159,26.853,62.198,22.616,38.794,48.815,41.254,19.037
130789,0,262,290,0.22707,3628.1,9.2827,42.026,75.23,120.39,0.32229,65.465,225.91,94.758,76.141,8.8654,26.367,18.539,1.6422,32.558,13.601,24.442,18.238,2.2739,4.8196,2.2256,0.84144,0.10873,42.472,63.314,53.591,22.162,63.115,22.154,38.217,45.948,40.487,18.598
130814,0,262,315,0.23869,3741.6,9.3774,42.179,75.406,120.41,0.35538,65.517,227.8,94.55,76.98,9.0166,26.348,18.956,1.6536,32.637,13.916,24.555,18.591,2.2423,4.825,2.3121,0.84083,0.10595,43.933,63.733,54.372,23.528,60.612,21.935,42.275,46.125,41.451,15.991
130817,0,262,318,0.23227,3717.0,9.2779,42.153,74.947,120.38,0.34094,65.613,224.73,94.474,77.142,9.0224,26.291,19.121,1.6859,32.4,13.924,24.262,18.63,2.3,4.7843,2.4137,0.82607,0.095886,44.629,64.116,54.029,23.084,58.714,21.563,40.654,46.466,41.257,18.055
130831,0,262,332,0.27776,3661.7,9.4901,42.51,74.893,120.43,0.34522,65.588,226.95,94.506,77.353,8.8014,25.827,18.559,1.674,33.089,13.721,23.996,18.59,2.3169,4.9032,2.37,0.88304,0.1018,44.012,62.945,53.832,27.426,60.36,22.537,40.359,46.291,41.727,15.506
