,faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_4,xmeas_6,xmeas_8,xmeas_9,xmeas_10,xmeas_18,xmeas_19,xmeas_21,xmeas_22,xmeas_24,xmeas_25,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_38,xmeas_39,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_9,xmv_10,xmv_11
130761,0,262,262,0.21906,3644.9,9.4741,41.925,74.876,120.39,0.36176,65.905,236.62,94.47,77.572,8.7422,26.267,18.483,1.6789,33.068,13.684,23.954,18.289,2.2728,4.8408,2.3561,0.80694,0.10373,44.029,63.307,53.692,21.26,61.646,22.85,43.093,48.886,40.885,18.519
130785,0,262,286,0.25735,3633.6,9.2276,42.333,74.858,120.43,0.30438,65.561,225.31,94.677,77.592,8.9281,26.794,18.726,1.6733,33.359,13.737,24.44,18.405,2.276,4.8217,2.2455,0.84144,0.10873,42.472,62.317,53.419,25.093,62.136,22.746,35.574,46.437,41.294,17.145
130794,0,262,295,0.24069,3661.4,9.3,42.275,75.3,120.4,0.35032,65.562,224.95,94.599,77.533,9.0402,26.712,18.832,1.6593,32.675,13.817,23.908,18.891,2.2225,4.8497,2.2681,0.83472,0.096088,44.543,62.77,53.868,23.666,59.95,22.253,42.108,46.417,41.021,17.702
130817,0,262,318,0.23227,3717.0,9.2779,42.153,74.947,120.38,0.34094,65.613,224.73,94.474,77.142,9.0224,26.291,19.121,1.6859,32.4,13.924,24.262,18.63,2.3,4.7843,2.4137,0.82607,0.095886,44.629,64.116,54.029,23.084,58.714,21.563,40.654,46.466,41.257,18.055
130822,0,262,323,0.25705,3666.4,9.3565,42.511,74.656,120.4,0.33231,65.646,223.85,94.62,77.226,8.9732,26.241,19.049,1.6728,32.597,13.873,23.622,19.274,2.2791,4.9598,2.2819,0.83524,0.10881,43.427,63.083,53.651,25.561,59.252,21.554,39.992,45.993,40.942,21.179
130827,0,262,328,0.27406,3691.6,9.3247,42.336,74.664,120.42,0.3291,65.534,224.17,94.754,77.269,8.9377,26.407,18.795,1.6725,32.538,13.941,24.053,18.398,2.2589,4.8619,2.3499,0.85924,0.086725,43.595,62.034,53.006,27.163,61.106,21.953,39.368,45.75,41.846,17.423
130840,0,262,341,0.26619,3686.6,9.3211,42.423,74.66,120.39,0.33472,65.902,236.35,94.621,77.049,8.8594,25.717,18.703,1.6438,33.348,13.736,23.977,18.509,2.2899,4.8876,2.3138,0.84654,0.07895,43.972,63.704,54.226,26.671,60.437,21.966,39.496,48.877,40.661,18.552
130842,0,262,343,0.26533,3639.5,9.2955,42.129,75.097,120.39,0.32548,65.98,237.15,94.604,77.606,8.9001,26.32,18.534,1.6569,33.447,13.855,23.97,18.568,2.2767,4.8897,2.4091,0.84654,0.07895,43.972,63.414,54.454,25.842,62.18,22.179,38.05,49.099,41.318,15.838
130847,0,262,348,0.23816,3671.1,9.3104,42.638,75.285,120.39,0.33723,65.925,239.98,94.595,77.294,8.8363,26.216,18.563,1.6289,33.164,14.104,23.379,18.443,2.3015,4.7993,2.3593,0.83626,0.11182,43.945,62.738,54.205,23.177,61.698,22.248,39.568,49.576,40.786,17.935
130857,0,262,358,0.22717,3707.9,9.3719,42.236,74.658,120.4,0.35952,66.078,235.24,94.464,77.379,8.8623,26.15,18.588,1.6224,33.182,13.914,23.848,18.354,2.2225,4.7737,2.2441,0.82079,0.1178,43.822,63.869,54.355,22.602,60.582,22.077,42.436,49.424,40.3,16.005
130866,0,262,367,0.25625,3656.2,9.3554,42.293,75.04,120.39,0.33151,65.853,231.57,94.812,77.367,8.8852,26.383,19.164,1.6228,32.538,13.979,23.989,18.348,2.2304,4.8555,2.2828,0.82842,0.10299,43.986,62.239,53.846,25.008,61.96,22.354,38.691,48.263,40.773,18.453
130904,0,262,405,0.27426,3659.6,9.3958,42.064,74.043,120.39,0.34115,65.433,221.32,94.521,77.278,8.9733,26.667,18.434,1.6901,33.177,13.607,23.732,18.625,2.3004,4.8465,2.2436,0.86014,0.089263,43.932,63.296,53.681,27.031,60.939,22.341,40.51,45.244,41.175,19.66
130919,0,262,420,0.26717,3701.2,9.3112,42.436,74.88,120.4,0.34462,65.648,231.42,94.619,77.398,8.9257,26.471,18.901,1.6848,32.84,13.884,24.433,18.312,2.3127,4.8713,2.2839,0.86463,0.099096,43.764,63.522,53.392,25.859,61.41,22.261,41.05,47.112,40.88,17.125
130922,0,262,423,0.27927,3625.7,9.4292,42.252,75.129,120.38,0.34114,65.88,234.43,94.609,77.335,9.0017,26.085,18.02,1.6527,32.531,13.938,24.015,18.637,2.2589,4.8659,2.3002,0.84769,0.074925,44.807,63.913,54.206,27.643,59.606,22.163,40.416,48.255,40.705,18.316
130925,0,262,426,0.27981,3648.5,9.4432,42.153,75.264,120.4,0.35168,65.925,235.4,94.568,77.206,8.8163,26.282,18.637,1.6176,32.742,13.946,24.352,18.634,2.2728,4.8,2.3479,0.85174,0.097889,43.287,63.609,54.89,27.352,58.733,21.905,41.468,48.75,41.411,18.903
130940,0,262,441,0.28516,3610.3,9.2765,42.215,75.392,120.38,0.33277,66.113,237.88,94.611,77.041,8.868,26.442,18.67,1.6485,32.936,13.939,23.887,18.968,2.3099,4.9032,2.2407,0.84482,0.08837,43.544,62.632,54.013,27.651,62.399,22.15,39.624,49.749,41.132,18.059
130961,0,262,462,0.28043,3691.3,9.4308,42.592,74.474,120.43,0.33783,66.237,241.62,94.436,77.341,8.7479,26.102,18.884,1.6245,33.128,13.79,23.421,18.455,2.3253,4.8721,2.3397,0.85231,0.095603,43.392,63.378,53.921,27.649,61.986,22.191,40.27,50.943,42.229,18.172
130970,0,262,471,0.24827,3714.0,9.3059,42.328,75.121,120.43,0.30861,66.469,245.6,94.585,76.97,8.9222,26.435,18.702,1.6437,33.881,13.64,23.355,18.54,2.2817,4.8934,2.2828,0.80941,0.10191,43.972,63.97,53.739,24.676,61.057,21.964,36.731,51.74,41.054,16.349
130993,0,262,494,0.20013,3648.2,9.4496,42.417,74.786,120.41,0.34414,66.091,237.61,94.494,77.717,8.7487,26.284,18.845,1.6928,33.413,13.73,23.307,18.63,2.2844,4.8749,2.2575,0.82603,0.079757,43.618,63.163,54.618,19.725,63.227,23.002,39.835,48.668,42.004,19.257
142761,0,286,262,0.3227,3656.1,9.4375,42.739,74.907,120.38,0.35291,65.959,238.63,94.553,77.612,8.971,25.821,19.359,1.6518,33.156,13.912,23.588,19.071,2.2415,4.9336,2.28,0.85587,0.079535,44.521,63.056,53.688,31.726,61.552,22.03,41.903,49.302,40.591,17.995
142785,0,286,286,0.24571,3629.5,9.3887,42.486,75.151,120.37,0.35129,66.443,243.42,94.737,77.028,9.0564,25.773,18.346,1.6527,33.113,13.949,23.852,18.66,2.2757,4.8128,2.2671,0.80903,0.098131,43.747,62.923,54.475,23.977,60.243,22.149,41.078,50.765,40.955,16.559
